artist_id,artist_genres
711MCceyCBcFnzjGY4Q7Un,australian rock
711MCceyCBcFnzjGY4Q7Un,hard rock
711MCceyCBcFnzjGY4Q7Un,rock
00tVTdpEhQQw1bqdu8RCx2,album rock
00tVTdpEhQQw1bqdu8RCx2,classic rock
00tVTdpEhQQw1bqdu8RCx2,glam metal
00tVTdpEhQQw1bqdu8RCx2,hard rock
00tVTdpEhQQw1bqdu8RCx2,progressive rock
00tVTdpEhQQw1bqdu8RCx2,rock
5BwMgvRwlq61SmknvsVIQj,latin jazz
5BwMgvRwlq61SmknvsVIQj,salsa
5BwMgvRwlq61SmknvsVIQj,tipico
5BwMgvRwlq61SmknvsVIQj,tropical
5ixB75BQR3ADoWQkcHQJTs,classic oklahoma country
5ixB75BQR3ADoWQkcHQJTs,cowboy western
5ixB75BQR3ADoWQkcHQJTs,traditional country
5ixB75BQR3ADoWQkcHQJTs,western swing
5ixB75BQR3ADoWQkcHQJTs,yodeling
4oV5EVJ0XFWsJKoOvdRPvl,alternative pop
4oV5EVJ0XFWsJKoOvdRPvl,alternative rock
4oV5EVJ0XFWsJKoOvdRPvl,chamber pop
4oV5EVJ0XFWsJKoOvdRPvl,dayton indie
4oV5EVJ0XFWsJKoOvdRPvl,gbvfi
4oV5EVJ0XFWsJKoOvdRPvl,indie rock
4oV5EVJ0XFWsJKoOvdRPvl,lo-fi
4oV5EVJ0XFWsJKoOvdRPvl,modern power pop
4oV5EVJ0XFWsJKoOvdRPvl,noise pop
4oV5EVJ0XFWsJKoOvdRPvl,ohio indie
4oV5EVJ0XFWsJKoOvdRPvl,power pop
4oV5EVJ0XFWsJKoOvdRPvl,tape club
3nFkdlSjzX9mRTtwJOzDYB,east coast hip hop
3nFkdlSjzX9mRTtwJOzDYB,gangster rap
3nFkdlSjzX9mRTtwJOzDYB,hip hop
3nFkdlSjzX9mRTtwJOzDYB,pop rap
3nFkdlSjzX9mRTtwJOzDYB,rap
03hfAxVdAWj7kxDnSG0fLD,british invasion
03hfAxVdAWj7kxDnSG0fLD,rock-and-roll
2ooIqOf4X2uz4mMptXCtie,alternative rock
2ooIqOf4X2uz4mMptXCtie,chamber pop
2ooIqOf4X2uz4mMptXCtie,elephant 6
2ooIqOf4X2uz4mMptXCtie,indie rock
2ooIqOf4X2uz4mMptXCtie,lo-fi
2ooIqOf4X2uz4mMptXCtie,noise pop
244fcyNSuyhbRlMGfMbYrO,britpop
244fcyNSuyhbRlMGfMbYrO,chamber pop
244fcyNSuyhbRlMGfMbYrO,melancholia
4F84IBURUo98rz4r61KF70,alternative rock
4F84IBURUo98rz4r61KF70,blues rock
4F84IBURUo98rz4r61KF70,detroit rock
4F84IBURUo98rz4r61KF70,garage rock
4F84IBURUo98rz4r61KF70,modern blues rock
4F84IBURUo98rz4r61KF70,permanent wave
4F84IBURUo98rz4r61KF70,punk blues
4F84IBURUo98rz4r61KF70,rock
47zz7sob9NUcODy0BTDvKx,british soul
47zz7sob9NUcODy0BTDvKx,sophisti-pop
5cbutZUQE7SUCA6MsEMbBv,bebop
5cbutZUQE7SUCA6MsEMbBv,hard bop
5cbutZUQE7SUCA6MsEMbBv,jazz
5cbutZUQE7SUCA6MsEMbBv,jazz saxophone
2Mu5NfyYm8n5iTomuKAEHl,alternative r&b
2Mu5NfyYm8n5iTomuKAEHl,conscious hip hop
2Mu5NfyYm8n5iTomuKAEHl,hip hop
2Mu5NfyYm8n5iTomuKAEHl,neo soul
2Mu5NfyYm8n5iTomuKAEHl,new jersey rap
2Mu5NfyYm8n5iTomuKAEHl,r&b
2Mu5NfyYm8n5iTomuKAEHl,soul
3DiDSECUqqY1AuBP8qtaIa,neo soul
3DiDSECUqqY1AuBP8qtaIa,pop
3DiDSECUqqY1AuBP8qtaIa,r&b
3jVMgT4X7YeuYE4aludcmE,brill building pop
4pejUc4iciQfgdX6OKulQn,alternative metal
4pejUc4iciQfgdX6OKulQn,alternative rock
4pejUc4iciQfgdX6OKulQn,grunge
4pejUc4iciQfgdX6OKulQn,modern rock
4pejUc4iciQfgdX6OKulQn,nu metal
4pejUc4iciQfgdX6OKulQn,palm desert scene
4pejUc4iciQfgdX6OKulQn,rock
4pejUc4iciQfgdX6OKulQn,stoner metal
4pejUc4iciQfgdX6OKulQn,stoner rock
3lPQ2Fk5JOwGWAF3ORFCqH,album rock
3lPQ2Fk5JOwGWAF3ORFCqH,classic rock
3lPQ2Fk5JOwGWAF3ORFCqH,country rock
3lPQ2Fk5JOwGWAF3ORFCqH,folk rock
3lPQ2Fk5JOwGWAF3ORFCqH,hard rock
3lPQ2Fk5JOwGWAF3ORFCqH,heartland rock
3lPQ2Fk5JOwGWAF3ORFCqH,mellow gold
3lPQ2Fk5JOwGWAF3ORFCqH,rock
3lPQ2Fk5JOwGWAF3ORFCqH,singer-songwriter
3lPQ2Fk5JOwGWAF3ORFCqH,soft rock
7v4imS0moSyGdXyLgVTIV7,adult standards
7v4imS0moSyGdXyLgVTIV7,lounge
7v4imS0moSyGdXyLgVTIV7,soul
7v4imS0moSyGdXyLgVTIV7,swing
7v4imS0moSyGdXyLgVTIV7,vocal jazz
1dfeR4HaWDbWqFHLkxsg1d,classic rock
1dfeR4HaWDbWqFHLkxsg1d,glam rock
1dfeR4HaWDbWqFHLkxsg1d,rock
2wrhBKGC3DTNNNDRJPaxW6,alternative rock
2wrhBKGC3DTNNNDRJPaxW6,gbvfi
2wrhBKGC3DTNNNDRJPaxW6,lo-fi
2wrhBKGC3DTNNNDRJPaxW6,western mass indie
3Mcii5XWf6E0lrY3Uky4cA,conscious hip hop
3Mcii5XWf6E0lrY3Uky4cA,g funk
3Mcii5XWf6E0lrY3Uky4cA,gangster rap
3Mcii5XWf6E0lrY3Uky4cA,hip hop
3Mcii5XWf6E0lrY3Uky4cA,rap
3Mcii5XWf6E0lrY3Uky4cA,west coast rap
artist_id,artist_genres
5nPOO9iTcrs9k6yFffPxjH,downtempo
5nPOO9iTcrs9k6yFffPxjH,electronica
5nPOO9iTcrs9k6yFffPxjH,indietronica
5nPOO9iTcrs9k6yFffPxjH,neo-synthpop
5nPOO9iTcrs9k6yFffPxjH,trip hop
5KQMtyPE8DCQNUzoNqlEsE,new romantic
5KQMtyPE8DCQNUzoNqlEsE,new wave
5KQMtyPE8DCQNUzoNqlEsE,permanent wave
5KQMtyPE8DCQNUzoNqlEsE,synthpop
4wLAjfeqAsV66AocWNcowA,dancehall
4wLAjfeqAsV66AocWNcowA,reggae fusion
2ycnb8Er79LoH2AsR5ldjh,dance rock
2ycnb8Er79LoH2AsR5ldjh,new romantic
2ycnb8Er79LoH2AsR5ldjh,new wave
2ycnb8Er79LoH2AsR5ldjh,new wave pop
2ycnb8Er79LoH2AsR5ldjh,permanent wave
2ycnb8Er79LoH2AsR5ldjh,synthpop
1B8AXU6gIIafpyLEpbcv1u,classic soul
1B8AXU6gIIafpyLEpbcv1u,motown
1B8AXU6gIIafpyLEpbcv1u,northern soul
1B8AXU6gIIafpyLEpbcv1u,soul
1B8AXU6gIIafpyLEpbcv1u,southern soul
5dbuFbrHa1SJlQhQX9OUJ2,album rock
5dbuFbrHa1SJlQhQX9OUJ2,classic rock
5dbuFbrHa1SJlQhQX9OUJ2,heartland rock
5dbuFbrHa1SJlQhQX9OUJ2,mellow gold
5dbuFbrHa1SJlQhQX9OUJ2,singer-songwriter
