artist_id,artist_name,artist_popularity,artist_followers
3MFp4cYuYtTZe3d3xkLLbr,Bill Haley & His Comets,49,303457
5hqB3Fxgin9YGYa0mIGf1G,Laurie Anderson,38,130606
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,63,1262159
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,48,166136
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,81,8701701
03hfAxVdAWj7kxDnSG0fLD,The Shadows,45,240886
2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,52,665974
711MCceyCBcFnzjGY4Q7Un,AC/DC,78,27567082
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,61,1485938
5BwMgvRwlq61SmknvsVIQj,Rubén Blades,59,1522924
5ixB75BQR3ADoWQkcHQJTs,Gene Autry,50,63955
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,63,1626771
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,68,2126779
1dfeR4HaWDbWqFHLkxsg1d,Queen,81,48735066
2wrhBKGC3DTNNNDRJPaxW6,Sebadoh,38,109354
